province,province_en,year,health_region,population,population_total,population_floating_night,population_floating_study,population_floating_work,population_density,province_area_sqkm,number_of_wildfire,wildfire_area_rai,wildfire_area_sqkm,wildfire_area_percent,pm25_avg,pm25_total_count,dementia,alcoholism,amphetamine,addict_substance,schizophrenia,other_phy,bipolar,depression,anxiety,low_iq,learning_disorder,autistics,adhd,suicide,game_adult,game_child,other_disease,seizure,total_mental_cases
อ่างทอง,Ang Thong,2022,4,273259.0,306460.0,12865.0,2538.0,18470.0,316.469290727,968.372,,,,,31.85936922,99.0,190.0,4715.0,634.0,3998.0,1140.0,199.0,160.0,2493.0,1147.0,177.0,121.0,310.0,454.0,34.0,0.0,3.0,1563.0,525.0,17863.0
เชียงราย,Chiang Rai,2022,1,1167752.0,1304960.0,4678.0,,646.0,111.741631045,11678.369,36.0,638.26,1.0212160000000001,0.008744508758029483,34.18629553,1214.0,756.0,3129.0,2645.0,4103.0,4901.0,1343.0,631.0,9964.0,6800.0,340.0,591.0,639.0,2645.0,159.0,2.0,12.0,5194.0,4382.0,48236.0
เชียงใหม่,Chiang Mai,2022,1,1630307.0,1912136.0,119251.0,,411.0,95.0977559769,20107.057,802.0,11241.07,17.985712,0.08944974891153887,28.40333978,2305.0,3001.0,6581.0,3420.0,7816.0,6965.0,2687.0,2593.0,21574.0,14833.0,1076.0,1868.0,2698.0,6892.0,181.0,28.0,58.0,14053.0,8219.0,104543.0
เพชรบุรี,Phetchaburi,2022,5,478702.0,529704.0,39025.0,3936.0,3793.0,85.0911256907,6225.138,2.0,16.0,0.0256,0.0004112358633655993,31.41718616,625.0,190.0,286.0,676.0,347.0,1695.0,314.0,172.0,2395.0,1181.0,124.0,130.0,152.0,774.0,112.0,5.0,2.0,2333.0,1233.0,12121.0
เพชรบูรณ์,Phetchabun,2022,2,973899.0,998970.0,18111.0,1749.0,5724.0,78.8551623186,12668.416,7.0,52.0,0.08320000000000001,0.0006567514044376188,28.35131937,1271.0,293.0,1478.0,1894.0,1709.0,3631.0,1591.0,246.0,4438.0,2931.0,514.0,298.0,285.0,823.0,101.0,0.0,6.0,5980.0,2238.0,28456.0
เลย,Loei,2022,8,633990.0,649558.0,10164.0,354.0,1699.0,56.8560227691,11424.612,18.0,254.0,0.40640000000000004,0.0035572324031660774,30.37185013,1081.0,345.0,2411.0,3050.0,2432.0,4141.0,1700.0,326.0,3857.0,6282.0,218.0,267.0,252.0,888.0,121.0,2.0,23.0,4105.0,2049.0,32469.0
แพร่,Phrae,2022,1,431977.0,444040.0,13015.0,280.0,76.0,67.9105826662,6538.598,76.0,1118.0,1.7888000000000002,0.02735754667896696,31.14304092,671.0,250.0,1490.0,2314.0,779.0,2216.0,632.0,290.0,3008.0,3513.0,120.0,319.0,284.0,498.0,65.0,1.0,5.0,3111.0,1599.0,20494.0
แม่ฮ่องสอน,Mae Hong Son,2022,1,241865.0,290897.0,3692.0,134.0,285.0,22.9391261546,12681.259,182.0,1693.0,2.7088,0.02136065512107276,30.81336886,1335.0,71.0,948.0,128.0,683.0,860.0,316.0,115.0,2836.0,2021.0,46.0,68.0,72.0,256.0,67.0,0.0,2.0,2366.0,985.0,11840.0
กระบี่,Krabi,2023,11,478842.0,,,,,,,0.0,0.0,0.0,,,,297.0,324.0,1021.0,1090.0,2407.0,1050.0,350.0,2227.0,2543.0,374.0,237.0,392.0,812.0,256.0,2.0,6.0,1910.0,1703.0,17001.0
กรุงเทพมหานคร,Bangkok,2023,13,5383238.0,,,,,,,,,,,,,4495.0,3006.0,2601.0,4200.0,15415.0,3490.0,3545.0,17040.0,16454.0,2640.0,1188.0,3557.0,5853.0,1565.0,87.0,169.0,16369.0,6959.0,108633.0
กาญจนบุรี,Kanchanaburi,2023,5,816650.0,,,,,,,246.0,2329.0,3.7264000000000004,,,,697.0,1341.0,2077.0,3140.0,2431.0,822.0,362.0,4151.0,3166.0,350.0,357.0,346.0,924.0,725.0,2.0,10.0,9052.0,2614.0,32567.0
กาฬสินธุ์,Kalasin,2023,7,969096.0,,,,,,,49.0,265.0,0.42400000000000004,,,,757.0,2446.0,4145.0,2094.0,5765.0,4648.0,428.0,4488.0,7249.0,372.0,214.0,368.0,1115.0,560.0,11.0,18.0,6687.0,3283.0,44648.0
กำแพงเพชร,Kamphaeng Phet,2023,3,705257.0,,,,,,,279.0,10580.0,16.928,,,,602.0,2836.0,1744.0,2806.0,2243.0,909.0,303.0,3274.0,3056.0,314.0,256.0,267.0,862.0,537.0,1.0,8.0,4883.0,2601.0,27502.0
ขอนแก่น,Khon Kaen,2023,7,1778210.0,,,,,,,109.0,1219.0,1.9504000000000001,,,,2594.0,6871.0,6801.0,6184.0,9256.0,4471.0,933.0,9267.0,14243.0,969.0,707.0,1089.0,2676.0,1184.0,16.0,71.0,13589.0,6340.0,87261.0
จันทบุรี,Chanthaburi,2023,6,532002.0,,,,,,,4.0,41.0,0.0656,,,,668.0,1474.0,874.0,1676.0,2511.0,970.0,720.0,4136.0,3677.0,380.0,448.0,298.0,997.0,745.0,16.0,9.0,5086.0,2542.0,27227.0
ฉะเชิงเทรา,Chachoengsao,2023,6,724554.0,,,,,,,2.0,3.0,0.0048000000000000004,,,,722.0,1538.0,1572.0,1888.0,2568.0,1128.0,470.0,3976.0,2810.0,535.0,422.0,378.0,1583.0,457.0,5.0,14.0,5531.0,2579.0,28176.0
ชลบุรี,Chon Buri,2023,6,1583600.0,,,,,,,37.0,349.0,0.5584,,,,1174.0,2168.0,1808.0,2182.0,4769.0,2404.0,796.0,6848.0,7502.0,1021.0,556.0,1319.0,1795.0,1093.0,6.0,113.0,12328.0,5266.0,53148.0
ชัยนาท,Chai Nat,2023,3,316902.0,,,,,,,,,,,,,987.0,635.0,1211.0,946.0,1628.0,620.0,130.0,3406.0,3807.0,240.0,76.0,171.0,462.0,246.0,9.0,11.0,7982.0,1327.0,23894.0
ชัยภูมิ,Chaiyaphum,2023,9,1114376.0,,,,,,,121.0,3937.0,6.2992,,,,1395.0,4890.0,5095.0,4688.0,5663.0,3598.0,552.0,8016.0,7363.0,548.0,371.0,510.0,1620.0,750.0,4.0,33.0,7879.0,3979.0,56954.0
