province,province_en,year,health_region,population,population_total,population_floating_night,population_floating_study,population_floating_work,population_density,province_area_sqkm,number_of_wildfire,wildfire_area_rai,wildfire_area_sqkm,wildfire_area_percent,pm25_avg,pm25_total_count,dementia,alcoholism,amphetamine,addict_substance,schizophrenia,other_phy,bipolar,depression,anxiety,low_iq,learning_disorder,autistics,adhd,suicide,game_adult,game_child,other_disease,seizure,total_mental_cases
ชุมพร,Chumphon,2023,11,505144.0,,,,,,,0.0,0.0,0.0,,,,422.0,675.0,1914.0,1729.0,2289.0,1128.0,449.0,2793.0,2999.0,376.0,153.0,257.0,818.0,295.0,3.0,4.0,3781.0,1997.0,22082.0
ตรัง,Trang,2023,12,636244.0,,,,,,,0.0,0.0,0.0,,,,538.0,1303.0,1440.0,3356.0,3098.0,1660.0,619.0,4924.0,5154.0,226.0,139.0,249.0,1042.0,626.0,0.0,7.0,2676.0,2582.0,29639.0
ตราด,Trat,2023,6,217780.0,,,,,,,1.0,10.0,0.016,,,,279.0,950.0,658.0,961.0,996.0,505.0,192.0,1900.0,1487.0,170.0,350.0,131.0,415.0,189.0,2.0,2.0,2146.0,1262.0,12595.0
ตาก,Tak,2023,2,547644.0,,,,,,,337.0,12123.0,19.396800000000002,,,,621.0,1835.0,1413.0,1335.0,2543.0,831.0,385.0,3620.0,3286.0,270.0,891.0,391.0,856.0,355.0,8.0,0.0,3301.0,2137.0,24078.0
นครนายก,Nakhon Nayok,2023,4,258853.0,,,,,,,5.0,758.0,1.2128,,,,308.0,500.0,790.0,1467.0,1076.0,209.0,147.0,949.0,1236.0,134.0,76.0,127.0,276.0,148.0,1.0,27.0,1692.0,795.0,9958.0
นครปฐม,Nakhon Pathom,2023,5,911606.0,,,,,,,,,,,,,1157.0,975.0,1097.0,1860.0,3546.0,1274.0,808.0,4980.0,4722.0,547.0,455.0,612.0,1915.0,552.0,8.0,33.0,6095.0,3140.0,33776.0
นครพนม,Nakhon Phanom,2023,8,713740.0,,,,,,,95.0,760.0,1.216,,,,616.0,2044.0,2380.0,1135.0,5083.0,1889.0,445.0,3108.0,4283.0,500.0,126.0,703.0,1466.0,387.0,3.0,26.0,4036.0,2369.0,30599.0
นครราชสีมา,Nakhon Ratchasima,2023,9,2622941.0,,,,,,,34.0,1987.0,3.1792000000000002,,,,3617.0,18088.0,5141.0,17849.0,11907.0,6158.0,1954.0,19230.0,16055.0,1996.0,760.0,1433.0,3856.0,2391.0,14.0,40.0,20654.0,8889.0,140032.0
นครศรีธรรมราช,Nakhon Si Thammarat,2023,11,1540041.0,,,,,,,28.0,10346.81,16.554896,,,,1800.0,1559.0,3994.0,4812.0,8045.0,4719.0,1647.0,8657.0,12585.0,963.0,930.0,711.0,2837.0,1047.0,3.0,33.0,13684.0,6073.0,74099.0
นครสวรรค์,Nakhon Sawan,2023,3,1023365.0,,,,,,,50.0,3020.0,4.832,,,,1706.0,2347.0,2223.0,1951.0,4382.0,2433.0,465.0,7192.0,7931.0,618.0,316.0,468.0,1865.0,873.0,4.0,21.0,10561.0,3628.0,48984.0
นนทบุรี,Nonthaburi,2023,4,1291795.0,,,,,,,,,,,,,1581.0,925.0,651.0,1446.0,4127.0,970.0,1532.0,7373.0,6730.0,1028.0,485.0,1066.0,2240.0,592.0,15.0,30.0,9669.0,2823.0,43283.0
นราธิวาส,Narathiwat,2023,12,815450.0,,,,,,,0.0,0.0,0.0,,,,259.0,226.0,659.0,6472.0,3605.0,1288.0,283.0,4084.0,4513.0,357.0,360.0,322.0,712.0,249.0,2.0,27.0,3779.0,1881.0,29078.0
น่าน,Nan,2023,1,471834.0,,,,,,,200.0,3477.0,5.5632,,,,395.0,2589.0,2693.0,1207.0,1611.0,800.0,520.0,3715.0,4980.0,488.0,170.0,324.0,2229.0,347.0,9.0,8.0,4062.0,2129.0,28276.0
บึงกาฬ,Bueng Kan,2023,8,420251.0,,,,,,,13.0,368.13,0.589008,,,,251.0,1063.0,2911.0,1100.0,2018.0,826.0,138.0,1362.0,1508.0,122.0,35.0,200.0,363.0,301.0,1.0,41.0,2231.0,1213.0,15684.0
บุรีรัมย์,Buri Ram,2023,9,1572795.0,,,,,,,15.0,114.0,0.1824,,,,1644.0,9515.0,4990.0,4167.0,9535.0,3853.0,934.0,10105.0,7480.0,1291.0,638.0,538.0,3355.0,1221.0,6.0,22.0,9393.0,6907.0,75594.0
ปทุมธานี,Pathum Thani,2023,4,1199942.0,,,,,,,,,,,,,746.0,694.0,594.0,1666.0,3293.0,826.0,677.0,4459.0,3841.0,462.0,300.0,605.0,1078.0,277.0,9.0,17.0,6921.0,1768.0,28233.0
ประจวบคีรีขันธ์,Prachuap Khiri Khan,2023,5,539219.0,,,,,,,70.0,2541.0,4.0656,,,,622.0,711.0,1676.0,1415.0,2613.0,597.0,422.0,3355.0,2597.0,560.0,244.0,475.0,1183.0,407.0,3.0,3.0,2662.0,2100.0,21645.0
ปราจีนบุรี,Prachin Buri,2023,6,497485.0,,,,,,,20.0,1438.0,2.3008,,,,455.0,1062.0,870.0,747.0,1717.0,504.0,200.0,1788.0,1855.0,237.0,103.0,192.0,552.0,291.0,1.0,3.0,3089.0,1639.0,15305.0
ปัตตานี,Pattani,2023,12,733484.0,,,,,,,0.0,0.0,0.0,,,,353.0,409.0,632.0,2785.0,3835.0,799.0,485.0,2843.0,5015.0,344.0,417.0,294.0,577.0,144.0,0.0,4.0,3151.0,1547.0,23634.0
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2023,4,819086.0,,,,,,,,,,,,,783.0,1570.0,2965.0,2440.0,3073.0,1502.0,641.0,5160.0,4335.0,502.0,332.0,536.0,1213.0,624.0,4.0,8.0,5596.0,2254.0,33538.0
พะเยา,Phayao,2023,1,457330.0,,,,,,,217.0,3755.5,6.0088,,,,705.0,2364.0,1457.0,1226.0,2503.0,974.0,455.0,5206.0,4122.0,387.0,398.0,484.0,1159.0,459.0,2.0,5.0,7541.0,2243.0,31690.0
พังงา,Phangnga,2023,11,263376.0,,,,,,,0.0,0.0,0.0,,,,366.0,447.0,1079.0,1043.0,1531.0,567.0,257.0,2342.0,2025.0,221.0,327.0,139.0,625.0,157.0,11.0,4.0,2574.0,1135.0,14850.0
พัทลุง,Phatthalung,2023,12,520768.0,,,,,,,6.0,75.0,0.12000000000000001,,,,585.0,645.0,1344.0,1231.0,2419.0,1517.0,781.0,4277.0,5613.0,174.0,413.0,183.0,742.0,327.0,3.0,10.0,4263.0,1719.0,26246.0
พิจิตร,Phichit,2023,3,523294.0,,,,,,,,,,,,,1164.0,1064.0,1241.0,698.0,2226.0,1104.0,273.0,3183.0,2822.0,258.0,514.0,240.0,767.0,327.0,0.0,4.0,4262.0,1524.0,21671.0
พิษณุโลก,Phitsanulok,2023,2,841323.0,,,,,,,137.0,3787.25,6.0596000000000005,,,,1809.0,2228.0,3113.0,1646.0,3508.0,986.0,578.0,5425.0,4685.0,667.0,641.0,571.0,2103.0,541.0,2.0,5.0,9813.0,2827.0,41148.0
ภูเก็ต,Phuket,2023,11,410098.0,,,,,,,0.0,0.0,0.0,,,,526.0,470.0,402.0,1387.0,1164.0,740.0,711.0,2439.0,2591.0,295.0,281.0,740.0,1336.0,210.0,9.0,7.0,3248.0,1662.0,18218.0
มหาสารคาม,Maha Sarakham,2023,7,940443.0,,,,,,,0.0,0.0,0.0,,,,1110.0,5256.0,3763.0,5849.0,3965.0,2903.0,453.0,5107.0,4396.0,411.0,205.0,423.0,1106.0,301.0,24.0,19.0,5247.0,3773.0,44311.0
มุกดาหาร,Mukdahan,2023,8,348416.0,,,,,,,76.0,585.42,0.936672,,,,293.0,1272.0,1529.0,868.0,2435.0,1265.0,132.0,2788.0,1602.0,242.0,437.0,270.0,1178.0,126.0,12.0,0.0,1632.0,1303.0,17384.0
ยะลา,Yala,2023,12,546355.0,,,,,,,0.0,0.0,0.0,,,,270.0,279.0,494.0,1281.0,2317.0,811.0,413.0,3269.0,4064.0,322.0,259.0,326.0,766.0,308.0,0.0,29.0,3346.0,1603.0,20157.0
ยโสธร,Yasothon,2023,10,529864.0,,,,,,,29.0,223.0,0.3568,,,,410.0,1655.0,1782.0,1427.0,3208.0,1653.0,219.0,3112.0,2729.0,598.0,116.0,188.0,1106.0,175.0,2.0,7.0,2458.0,1804.0,22649.0
ระนอง,Ranong,2023,11,179647.0,,,,,,,0.0,0.0,0.0,,,,155.0,216.0,416.0,398.0,706.0,316.0,135.0,1645.0,1185.0,133.0,27.0,170.0,306.0,130.0,2.0,0.0,1219.0,648.0,7807.0
ระยอง,Rayong,2023,6,757570.0,,,,,,,4.0,153.0,0.24480000000000002,,,,723.0,1166.0,1315.0,1941.0,2082.0,1477.0,586.0,4001.0,5763.0,223.0,176.0,360.0,853.0,682.0,6.0,14.0,5712.0,3462.0,30542.0
ราชบุรี,Ratchaburi,2023,5,838438.0,,,,,,,80.0,681.0,1.0896000000000001,,,,1226.0,1347.0,1455.0,1925.0,2863.0,1397.0,763.0,5932.0,5046.0,679.0,859.0,720.0,1917.0,572.0,37.0,60.0,7625.0,3055.0,37478.0
ร้อยเอ็ด,Roi Et,2023,7,1286706.0,,,,,,,31.0,358.0,0.5728,,,,808.0,3766.0,3872.0,2632.0,7366.0,3550.0,323.0,5314.0,6334.0,499.0,167.0,571.0,1940.0,509.0,2.0,23.0,7392.0,3917.0,48985.0
ลพบุรี,Lop Buri,2023,4,731063.0,,,,,,,6.0,157.0,0.25120000000000003,,,,936.0,1381.0,1954.0,1402.0,2693.0,1154.0,287.0,4784.0,4695.0,487.0,787.0,605.0,1423.0,615.0,1.0,3.0,7010.0,2217.0,32434.0
ลำปาง,Lampang,2023,1,712286.0,,,,,,,500.0,12065.0,19.304000000000002,,,,1310.0,2983.0,2672.0,1230.0,3279.0,1494.0,629.0,5414.0,7864.0,912.0,1723.0,701.0,3709.0,351.0,4.0,5.0,6761.0,3534.0,44575.0
ลำพูน,Lamphun,2023,1,395884.0,,,,,,,291.0,9468.0,15.148800000000001,,,,936.0,2179.0,2070.0,1217.0,2204.0,603.0,440.0,6286.0,4067.0,411.0,1276.0,455.0,1578.0,379.0,3.0,13.0,6029.0,2436.0,32582.0
ศรีสะเกษ,Si Sa Ket,2023,10,1451135.0,,,,,,,31.0,428.67,0.685872,,,,1528.0,9701.0,5010.0,4106.0,8548.0,6122.0,656.0,9134.0,12552.0,919.0,297.0,602.0,2998.0,992.0,7.0,32.0,6679.0,5109.0,74992.0
สกลนคร,Sakon Nakhon,2023,8,1142740.0,,,,,,,115.0,1343.1,2.1489599999999998,,,,900.0,3483.0,3666.0,4548.0,6681.0,2312.0,516.0,5493.0,4475.0,476.0,193.0,375.0,985.0,590.0,4.0,130.0,7766.0,3792.0,46385.0
สงขลา,Songkhla,2023,12,1422168.0,,,,,,,2.0,17.0,0.027200000000000002,,,,1728.0,1812.0,3050.0,5954.0,6396.0,3518.0,1813.0,10544.0,12824.0,1177.0,1428.0,1239.0,4199.0,1864.0,16.0,17.0,12292.0,5892.0,75763.0
สตูล,Satun,2023,12,324856.0,,,,,,,0.0,0.0,0.0,,,,309.0,156.0,523.0,3776.0,1524.0,666.0,324.0,2551.0,3318.0,195.0,251.0,197.0,540.0,151.0,0.0,6.0,2544.0,1037.0,18068.0
สมุทรปราการ,Samut Prakan,2023,6,1348728.0,,,,,,,,,,,,,1249.0,1545.0,1235.0,1576.0,4884.0,1327.0,719.0,6786.0,6616.0,1783.0,1232.0,3363.0,5786.0,620.0,18.0,66.0,9089.0,3387.0,51281.0
สมุทรสงคราม,Samut Songkhram,2023,5,187040.0,,,,,,,,,,,,,208.0,108.0,185.0,1522.0,691.0,209.0,106.0,750.0,859.0,59.0,76.0,133.0,378.0,94.0,2.0,5.0,910.0,480.0,6775.0
สมุทรสาคร,Samut Sakhon,2023,5,559888.0,,,,,,,,,,,,,500.0,567.0,505.0,523.0,1374.0,588.0,334.0,3024.0,2397.0,362.0,535.0,483.0,1389.0,227.0,1.0,48.0,2792.0,1080.0,16729.0
สระบุรี,Saraburi,2023,4,636554.0,,,,,,,51.0,1071.75,1.7148,,,,667.0,3136.0,813.0,1249.0,3391.0,706.0,430.0,4597.0,3705.0,579.0,700.0,489.0,1322.0,445.0,4.0,4.0,7142.0,2350.0,31729.0
สระแก้ว,Sa Kaeo,2023,6,558074.0,,,,,,,9.0,325.0,0.52,,,,520.0,2066.0,1574.0,1385.0,3334.0,1193.0,343.0,2508.0,4307.0,495.0,293.0,468.0,782.0,427.0,7.0,13.0,3611.0,1700.0,25026.0
สิงห์บุรี,Sing Buri,2023,4,201817.0,,,,,,,,,,,,,781.0,417.0,511.0,384.0,915.0,460.0,186.0,2298.0,2027.0,169.0,82.0,130.0,521.0,154.0,2.0,10.0,3438.0,634.0,13119.0
สุพรรณบุรี,Suphan Buri,2023,5,825933.0,,,,,,,11.0,71.0,0.1136,,,,1245.0,1550.0,3243.0,2533.0,3109.0,1113.0,433.0,5872.0,4088.0,599.0,362.0,370.0,1398.0,729.0,5.0,14.0,7158.0,3356.0,37177.0
สุราษฎร์ธานี,Surat Thani,2023,11,1065669.0,,,,,,,0.0,0.0,0.0,,,,1343.0,2227.0,4496.0,5404.0,5763.0,2650.0,942.0,7726.0,9815.0,1049.0,819.0,912.0,3136.0,1171.0,9.0,21.0,10514.0,5137.0,63134.0
สุรินทร์,Surin,2023,9,1368750.0,,,,,,,26.0,237.6,0.38016,,,,1240.0,6939.0,3334.0,3923.0,7295.0,3435.0,387.0,10453.0,8212.0,594.0,350.0,510.0,2274.0,787.0,9.0,20.0,9253.0,4891.0,63906.0
สุโขทัย,Sukhothai,2023,2,579001.0,,,,,,,80.0,2651.0,4.2416,,,,842.0,1427.0,3104.0,1237.0,2388.0,721.0,337.0,4461.0,2807.0,367.0,225.0,252.0,384.0,335.0,0.0,13.0,4165.0,1982.0,25047.0
หนองคาย,Nong Khai,2023,8,510018.0,,,,,,,71.0,1908.0,3.0528,,,,407.0,1268.0,1539.0,1112.0,2194.0,1196.0,230.0,2113.0,2096.0,260.0,117.0,286.0,529.0,259.0,4.0,5.0,3906.0,1584.0,19105.0
หนองบัวลำภู,Nong Bua Lam Phu,2023,8,506900.0,,,,,,,58.0,1529.0,2.4464,,,,399.0,1543.0,1151.0,1164.0,2683.0,1011.0,172.0,2661.0,2453.0,225.0,96.0,149.0,374.0,222.0,0.0,2.0,2165.0,1544.0,18014.0
อำนาจเจริญ,Amnat Charoen,2023,10,373986.0,,,,,,,40.0,268.0,0.4288,,,,345.0,1644.0,1638.0,818.0,2418.0,1113.0,227.0,2721.0,2814.0,248.0,205.0,240.0,1036.0,186.0,6.0,7.0,2685.0,1459.0,19810.0
อุดรธานี,Udon Thani,2023,8,1553009.0,,,,,,,108.0,3265.0,5.224,,,,1321.0,4174.0,5950.0,3486.0,8064.0,2571.0,802.0,5960.0,6998.0,677.0,264.0,664.0,970.0,592.0,5.0,12.0,8511.0,5186.0,56207.0
อุตรดิตถ์,Uttaradit,2023,2,440154.0,,,,,,,32.0,373.0,0.5968,,,,301.0,926.0,1428.0,990.0,1107.0,403.0,140.0,2421.0,1294.0,194.0,233.0,140.0,675.0,186.0,1.0,1.0,2577.0,923.0,13940.0
อุทัยธานี,Uthai Thani,2023,3,322585.0,,,,,,,523.0,22039.0,35.2624,,,,633.0,1481.0,2114.0,1170.0,1251.0,731.0,138.0,2303.0,1982.0,309.0,79.0,120.0,415.0,234.0,4.0,3.0,5157.0,1256.0,19380.0
อุบลราชธานี,Ubon Ratchathani,2023,10,1860652.0,,,,,,,126.0,1118.41,1.7894560000000002,,,,1684.0,7924.0,6353.0,6860.0,11774.0,4961.0,1021.0,11740.0,17222.0,1414.0,418.0,1217.0,5684.0,600.0,8.0,48.0,16156.0,8598.0,103682.0
อ่างทอง,Ang Thong,2023,4,271232.0,,,,,,,,,,,,,476.0,988.0,895.0,1464.0,1220.0,248.0,180.0,2779.0,1472.0,260.0,140.0,338.0,513.0,196.0,1.0,3.0,2219.0,688.0,14080.0
เชียงราย,Chiang Rai,2023,1,1166029.0,,,,,,,296.0,7280.67,11.649072,,,,1067.0,4961.0,4457.0,6540.0,5447.0,1723.0,744.0,10242.0,7826.0,628.0,549.0,668.0,2307.0,825.0,8.0,19.0,8317.0,4760.0,61088.0
เชียงใหม่,Chiang Mai,2023,1,1632949.0,,,,,,,1767.0,43265.91,69.22545600000001,,,,2141.0,8049.0,4712.0,8293.0,8254.0,2787.0,2024.0,17840.0,14227.0,1422.0,2532.0,2257.0,6725.0,1034.0,29.0,87.0,15759.0,7104.0,105276.0
เพชรบุรี,Phetchaburi,2023,5,478967.0,,,,,,,77.0,1576.0,2.5216000000000003,,,,356.0,449.0,1309.0,616.0,2101.0,505.0,261.0,3066.0,1839.0,230.0,202.0,278.0,1024.0,462.0,11.0,6.0,3030.0,1697.0,17442.0
เพชรบูรณ์,Phetchabun,2023,2,968386.0,,,,,,,81.0,1261.0,2.0176000000000003,,,,1088.0,2524.0,3497.0,2479.0,4458.0,1872.0,402.0,5417.0,4227.0,799.0,537.0,488.0,1281.0,523.0,3.0,17.0,6940.0,3045.0,39597.0
เลย,Loei,2023,8,632184.0,,,,,,,260.0,5510.0,8.816,,,,611.0,2097.0,2734.0,1274.0,3181.0,1613.0,271.0,3134.0,5906.0,356.0,254.0,283.0,752.0,610.0,5.0,16.0,4430.0,2310.0,29837.0
แพร่,Phrae,2023,1,427828.0,,,,,,,73.0,732.0,1.1712,,,,449.0,1833.0,2808.0,1134.0,1861.0,632.0,311.0,2950.0,3283.0,174.0,352.0,341.0,553.0,330.0,2.0,5.0,3628.0,1550.0,22196.0
แม่ฮ่องสอน,Mae Hong Son,2023,1,242317.0,,,,,,,300.0,2734.25,4.3748000000000005,,,,159.0,1065.0,210.0,857.0,1037.0,332.0,160.0,3089.0,2329.0,144.0,174.0,196.0,455.0,254.0,1.0,16.0,2661.0,1022.0,14161.0
