province,year,total_count,PM25_dcount
CHANGWAT SAMUT SAKHON,2022,88,32.24451986
CHANGWAT SAMUT SONGKHRAM,2022,43,31.65509121
CHANGWAT SARABURI,2022,353,31.20121772
CHANGWAT SATUN,2022,306,25.45979514
CHANGWAT SI SA KET,2022,900,32.507686
CHANGWAT SING BURI,2022,82,30.93630285
CHANGWAT SONGKHLA,2022,770,25.7794286
CHANGWAT SUKHOTHAI,2022,692,32.01690979
CHANGWAT SUPHAN BURI,2022,552,31.4329572
CHANGWAT SURAT THANI,2022,1313,27.80864835
CHANGWAT SURIN,2022,904,31.98744239
CHANGWAT TAK,2022,1781,28.39488349
CHANGWAT TRANG,2022,474,24.53986814
CHANGWAT TRAT,2022,289,26.90549556
CHANGWAT UBON RATCHATHANI,2022,1589,32.18448054
CHANGWAT UDON THANI,2022,1136,30.99277379
CHANGWAT UTHAI THANI,2022,675,30.44258595
CHANGWAT UTTARADIT,2022,814,29.96761337
CHANGWAT YALA,2022,446,22.91381661
CHANGWAT YASOTHON,2022,422,32.94912491
