province,year,total_count,PM25_dcount
CHANGWAT NAKHON PHANOM,2017,579,32.03188838
CHANGWAT NAKHON RATCHASIMA,2017,2118,29.18003579
CHANGWAT NAKHON SAWAN,2017,973,32.25029997
CHANGWAT NAKHON SI THAMMARAT,2017,984,24.31473137
CHANGWAT NAN,2017,1270,35.19738443
CHANGWAT NARATHIWAT,2017,445,23.28099776
CHANGWAT NONG BUA LAM PHU,2017,425,31.71600913
CHANGWAT NONG KHAI,2017,344,30.56477287
CHANGWAT NONTHABURI,2017,63,31.98000436
CHANGWAT PATHUM THANI,2017,151,31.98602651
CHANGWAT PATTANI,2017,201,25.37274659
CHANGWAT PHANGNGA,2017,454,25.78640584
CHANGWAT PHATTHALUNG,2017,384,22.52315167
CHANGWAT PHAYAO,2017,646,38.43582957
CHANGWAT PHETCHABUN,2017,1271,30.07149446
CHANGWAT PHETCHABURI,2017,625,31.0221759
CHANGWAT PHICHIT,2017,446,32.65825269
CHANGWAT PHITSANULOK,2017,1086,32.26463476
CHANGWAT PHRA NAKHON SI AYUTTHAYA,2017,264,32.26865004
CHANGWAT PHRAE,2017,671,36.7610635
CHANGWAT PHUKET,2017,52,27.36322637
CHANGWAT PRACHIN BURI,2017,509,28.94006338
CHANGWAT PRACHUAP KHIRI KHAN,2017,646,30.22997795
CHANGWAT RANONG,2017,324,25.13408002
CHANGWAT RATCHABURI,2017,527,31.45574531
CHANGWAT RAYONG,2017,373,29.73084136
CHANGWAT ROI ET,2017,801,30.43974401
CHANGWAT SA KAEO,2017,691,31.65181402
CHANGWAT SAKON NAKHON,2017,990,30.37147767
CHANGWAT SAMUT PRAKAN,2017,99,34.21850535
CHANGWAT SAMUT SAKHON,2017,88,33.12835371
CHANGWAT SAMUT SONGKHRAM,2017,43,33.32728758
CHANGWAT SARABURI,2017,353,31.14835918
CHANGWAT SATUN,2017,306,25.34997871
CHANGWAT SI SA KET,2017,900,30.5844837
CHANGWAT SING BURI,2017,82,31.79460988
CHANGWAT SONGKHLA,2017,770,25.43856799
CHANGWAT SUKHOTHAI,2017,692,34.43965688
CHANGWAT SUPHAN BURI,2017,552,32.9120317
CHANGWAT SURAT THANI,2017,1313,25.44811544
CHANGWAT SURIN,2017,904,30.6977275
CHANGWAT TAK,2017,1781,31.45401631
CHANGWAT TRANG,2017,474,25.52035878
CHANGWAT TRAT,2017,289,27.85205613
CHANGWAT UBON RATCHATHANI,2017,1589,29.84655865
CHANGWAT UDON THANI,2017,1136,30.30175136
CHANGWAT UTHAI THANI,2017,675,32.52661392
CHANGWAT UTTARADIT,2017,814,35.03499
CHANGWAT YALA,2017,446,22.27802107
CHANGWAT YASOTHON,2017,422,30.58004131
BANGKOK,2018,158,30.3371001
CHANGWAT AMNAT CHAROEN,2018,335,31.44686723
CHANGWAT ANG THONG,2018,99,32.73274937
CHANGWAT BUENG KAN,2018,410,34.27450609
CHANGWAT BURI RAM,2018,1023,30.74608579
CHANGWAT CHACHOENGSAO,2018,527,29.28446555
CHANGWAT CHAI NAT,2018,259,34.2227693
CHANGWAT CHAIYAPHUM,2018,1302,29.82755492
CHANGWAT CHANTHABURI,2018,650,26.07964884
CHANGWAT CHIANG MAI,2018,2305,32.32132744
CHANGWAT CHIANG RAI,2018,1214,39.60390701
CHANGWAT CHON BURI,2018,453,31.0434296
CHANGWAT CHUMPHON,2018,601,27.97795011
CHANGWAT KALASIN,2018,711,32.99077968
CHANGWAT KAMPHAENG PHET,2018,879,35.7589915
CHANGWAT KANCHANABURI,2018,1977,30.02757745
CHANGWAT KHON KAEN,2018,1097,30.80337771
CHANGWAT KRABI,2018,531,26.191397
CHANGWAT LAMPANG,2018,1301,37.2913594
CHANGWAT LAMPHUN,2018,465,33.71248378
CHANGWAT LOEI,2018,1081,32.36767682
CHANGWAT LOP BURI,2018,663,30.66363231
CHANGWAT MAE HONG SON,2018,1335,32.02677212
CHANGWAT MAHA SARAKHAM,2018,571,30.68001046
CHANGWAT MUKDAHAN,2018,417,31.82584115
CHANGWAT NAKHON NAYOK,2018,220,27.80007492
CHANGWAT NAKHON PATHOM,2018,222,31.51438648
CHANGWAT NAKHON PHANOM,2018,579,33.81745745
CHANGWAT NAKHON RATCHASIMA,2018,2118,30.07252531
CHANGWAT NAKHON SAWAN,2018,973,32.59905337
CHANGWAT NAKHON SI THAMMARAT,2018,984,27.26840968
CHANGWAT NAN,2018,1270,35.60150046
CHANGWAT NARATHIWAT,2018,445,24.42174634
CHANGWAT NONG BUA LAM PHU,2018,425,32.06706389
CHANGWAT NONG KHAI,2018,344,33.72704303
CHANGWAT NONTHABURI,2018,63,29.54998142
CHANGWAT PATHUM THANI,2018,151,29.09713688
CHANGWAT PATTANI,2018,201,26.42717733
CHANGWAT PHANGNGA,2018,454,28.08075713
CHANGWAT PHATTHALUNG,2018,384,25.89271783
CHANGWAT PHAYAO,2018,646,39.52707282
CHANGWAT PHETCHABUN,2018,1271,30.13426982
CHANGWAT PHETCHABURI,2018,625,31.64236329
CHANGWAT PHICHIT,2018,446,34.44521199
CHANGWAT PHITSANULOK,2018,1086,33.99198263
CHANGWAT PHRA NAKHON SI AYUTTHAYA,2018,264,31.42652567
CHANGWAT PHRAE,2018,671,36.91843026
CHANGWAT PHUKET,2018,52,31.19598045
CHANGWAT PRACHIN BURI,2018,509,28.26002128
CHANGWAT PRACHUAP KHIRI KHAN,2018,646,30.91271109
CHANGWAT RANONG,2018,324,27.42370423
CHANGWAT RATCHABURI,2018,527,30.70165936
CHANGWAT RAYONG,2018,373,29.61385432
CHANGWAT ROI ET,2018,801,32.40186251
CHANGWAT SA KAEO,2018,691,28.43785655
CHANGWAT SAKON NAKHON,2018,990,32.65811525
CHANGWAT SAMUT PRAKAN,2018,99,34.37255859
CHANGWAT SAMUT SAKHON,2018,88,35.38831807
CHANGWAT SAMUT SONGKHRAM,2018,43,34.23842918
CHANGWAT SARABURI,2018,353,30.33883636
CHANGWAT SATUN,2018,306,27.26473164
CHANGWAT SI SA KET,2018,900,32.85265103
CHANGWAT SING BURI,2018,82,32.56560439
CHANGWAT SONGKHLA,2018,770,28.39683517
CHANGWAT SUKHOTHAI,2018,692,37.18026242
CHANGWAT SUPHAN BURI,2018,552,33.95872376
CHANGWAT SURAT THANI,2018,1313,28.12994579
CHANGWAT SURIN,2018,904,31.81761408
CHANGWAT TAK,2018,1781,32.97255977
CHANGWAT TRANG,2018,474,26.15310504
CHANGWAT TRAT,2018,289,28.65045309
CHANGWAT UBON RATCHATHANI,2018,1589,32.15417135
CHANGWAT UDON THANI,2018,1136,32.16964635
